Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus
03/14/2022,11,BP2,"336,130","16,100","149,420","170,610",0,0,0,0,0,"307,223","307,221","307,221","9,819","14,161","138,316","154,714",32,0,0,0,0,"307,223","142,836",0,"142,834",0,"142,834",0,"3,918",0,"132,793",0,"132,792",0,"132,792",0,"3,645",0,"13,479","52,485","66,829",0,"13,478","52,485","66,829",0,"13,478","52,485","66,829",0,195,"1,755","1,695",0,"44,189",33.3,"44,189",33.3,"44,189",33.3,"14,367",49.4,"2,417",66.3,"26,876","16,648",643,22,"142,834",0,"132,792",0,"307,221",0,0,"52,485","66,829","13,478",0
03/14/2022,11,ID,"3,245,390","156,000","1,260,880","1,828,510",0,"181,604","217,024","242,399","1,116,520","2,381,269","2,320,210","2,181,627","687,769","86,959","898,197","1,392,717","3,396","133,250","155,156","162,946","236,615","2,403,273","1,081,569",60.5,"1,047,667",70.1,"978,660",73.1,"274,609",94.5,"953,986",53.4,"925,198",61.9,"864,185",64.5,"249,612",85.9,"80,546","327,298","545,349",793,"80,527","327,288","516,598",785,"80,474","327,129","455,808",774,"12,220","114,689","122,384",319,"392,332",41.1,"392,329",42.4,"392,148",45.4,"271,596",58.3,"165,986",66.5,"172,308","213,896","6,038",90,"1,081,485",64.7,"953,942",57.1,"2,381,156","142,510","194,234","327,290","545,329","80,530",793
03/14/2022,11,TX,"59,392,095","2,611,500","21,310,140","35,470,455",0,"204,829","246,429","275,013","1,590,480","44,788,647","43,152,723","39,632,546","8,997,960","1,542,276","16,397,666","26,844,182","4,523","154,466","179,049","183,517","240,959","43,482,452","20,737,551",71.5,"19,808,718",82.2,"18,031,837",83.5,"3,623,659",95,"17,503,509",60.4,"16,874,840",70,"15,458,516",71.6,"3,211,203",86,"1,344,102","6,041,365","10,117,108",934,"1,343,650","6,040,537","9,489,755",898,"1,342,089","6,036,360","8,079,199",868,"177,696","1,525,779","1,507,399",329,"6,335,594",36.2,"6,335,150",37.5,"6,124,057",39.6,"3,753,516",52.5,"1,959,654",61,"2,778,675","3,459,999","96,712",208,"20,731,999",76.8,"17,502,130",64.8,"44,781,781","165,828","219,930","6,040,845","10,116,528","1,343,824",933
03/14/2022,11,FL,"46,026,445","2,346,400","17,025,080","26,654,965",0,"214,298","246,183","266,854","1,023,420","36,336,507","35,619,716","33,750,816","11,694,629","1,462,243","13,411,085","21,328,275","134,904","169,182","190,520","195,682","260,035","35,997,273","16,826,250",78.3,"16,427,576",87.9,"15,477,817",89.7,"4,742,534",95,"14,220,528",66.2,"13,915,754",74.4,"13,126,399",76.1,"4,054,688",90.2,"1,347,770","4,834,927","7,999,218","38,613","1,346,911","4,834,080","7,696,403","38,360","1,346,002","4,832,722","6,909,861","37,814","214,155","1,949,876","1,869,326","21,331","5,518,861",38.8,"5,518,103",39.7,"5,408,093",41.2,"3,977,999",52.6,"2,442,086",60.2,"2,378,155","3,032,845","101,434","6,427","16,817,941",82.7,"14,218,771",69.9,"36,327,076","178,617","226,308","4,834,184","7,999,054","1,346,955","38,578"
03/14/2022,11,ME,"3,213,850","152,200","1,264,120","1,797,530",0,"239,088","271,226","293,403","1,126,620","2,716,734","2,631,699","2,481,880","800,153","142,940","1,104,774","1,465,660","3,360","202,106","222,096","226,579","280,495","2,728,947","1,199,661",89.2,"1,154,701",95,"1,087,248",95,"322,491",95,"1,055,935",78.6,"1,016,236",85.8,"954,923",87.2,"280,708",95,"131,187","379,778","544,202",768,"131,165","379,757","504,550",764,"131,106","379,697","443,424",696,"24,582","127,853","128,007",266,"572,037",54.2,"571,966",56.3,"552,582",57.9,"375,560",68.2,"212,235",75.6,"263,421","297,393","10,636",587,"1,199,511",93.7,"1,055,901",82.4,"2,716,570","212,120","250,950","379,771","544,194","131,168",768
03/14/2022,11,MO,"11,143,545","423,000","4,226,100","6,494,445",0,"181,567","212,837","233,772","1,049,260","8,703,014","8,471,668","7,989,987","2,474,974","249,188","3,143,257","5,308,248","2,321","141,802","161,805","167,616","233,040","8,665,255","4,023,955",65.6,"3,892,440",74.3,"3,652,147",76.6,"1,013,179",95,"3,397,813",55.4,"3,297,836",63,"3,093,878",64.9,"884,759",83.3,"236,010","1,155,416","2,005,672",715,"235,978","1,155,394","1,905,784",680,"235,739","1,154,911","1,702,753",475,"40,043","403,160","441,387",169,"1,402,631",41.3,"1,402,456",42.5,"1,364,914",44.1,"949,669",55.2,"573,239",64.8,"574,398","810,993","17,173",67,"4,023,554",69.7,"3,397,768",58.9,"8,702,612","150,842","193,151","1,155,403","2,005,659","235,994",712
03/14/2022,11,WA,"17,000,895","749,900","6,142,000","10,108,995",0,"223,258","261,515","285,641","1,405,350","13,942,770","13,463,239","12,569,623","3,180,808","483,364","5,204,777","8,243,353","11,276","183,099","207,097","211,189","262,937","14,052,596","6,092,817",80,"5,832,634",89.7,"5,424,797",91.1,"1,230,908",95,"5,463,322",71.7,"5,244,339",80.7,"4,873,855",81.9,"1,127,231",93.2,"449,541","1,885,691","3,124,143","3,947","449,494","1,885,598","2,905,322","3,925","449,166","1,884,838","2,536,032","3,819","58,868","511,241","555,387","1,735","2,765,346",50.6,"2,764,244",52.7,"2,651,940",54.4,"1,550,197",66.9,"847,593",75.2,"1,202,439","1,525,495","36,553",859,"6,091,671",85.1,"5,463,168",76.3,"13,941,484","194,757","237,495","1,885,666","3,124,044","449,514","3,944"
03/14/2022,11,MT,"1,895,095","104,300","779,100","1,011,695",0,"177,314","206,528","225,556","918,002","1,542,353","1,501,811","1,422,267","491,573","60,366","649,058","830,817","2,112","144,310","163,668","169,279","238,123","1,546,075","690,977",64.7,"668,155",72.8,"628,772",74.8,"195,452",94.7,"600,118",56.1,"582,480",63.5,"548,872",65.3,"175,851",85.2,"54,527","235,279","309,817",495,"54,520","235,256","292,210",494,"54,451","235,137","258,800",484,"10,051","84,478","81,090",232,"279,453",46.6,"279,407",48,"273,273",49.8,"192,473",60.8,"121,002",68.8,"131,657","142,484","4,970",342,"690,847",68.6,"600,089",59.6,"1,542,185","153,052","188,076","235,263","309,809","54,522",495
03/14/2022,11,US,"695,949,235","30,417,800","257,633,820","407,897,615",0,"209,618","245,467","269,476","1,270,170","557,138,106","539,520,732","504,177,014","137,542,247","18,519,052","209,481,825","328,622,521","514,708","167,808","190,294","195,221","251,026","557,138,106","254,599,776",76.7,"244,816,734",86.3,"227,600,187",88.1,"56,180,393",95,"216,690,804",65.3,"208,951,374",73.7,"194,264,498",75.2,"48,700,667",88.9,"16,809,359","75,579,704","124,155,222","146,519","16,804,353","75,573,483","116,428,747","144,791","16,778,219","75,492,863","101,854,184","139,232","2,350,167","23,217,689","23,069,702","63,109","96,035,748",44.3,"96,016,397",46,"92,732,440",47.7,"58,806,319",58.9,"32,530,828",66.8,"41,479,896","53,080,279","1,449,953","25,620","254,516,342",81.5,"216,661,427",69.4,"557,027,198","178,383","222,871","75,576,532","124,132,200","16,806,305","146,390"
03/14/2022,11,GU,"320,060","23,600","85,780","210,680",0,"189,959","243,733","279,421","1,992,780","337,594","323,286","290,678","44,927","13,060","106,673","217,650",211,"200,366","246,189","253,770","279,727","337,442","151,264",89.8,"143,076",95,"127,332",95,"17,397",95,"136,629",81.1,"130,901",95,"117,027",95,"16,318",95,"10,840","40,086","85,620",83,"10,839","40,085","79,894",83,"10,830","40,068","66,046",83,614,"6,669","9,009",26,"56,161",41.1,"56,146",42.9,"53,244",45.5,"28,624",62.8,"11,438",70.1,"20,239","34,676","1,246",0,"151,233",95,"136,628",89.4,"337,562","220,974","209,517","40,085","85,620","10,840",83
